study,source_line,source_run_id,provider,model,prompt_id,prompt_text,length_cap,iteration,output_tokens,max_tokens,output_token_fraction,raw_stop_reason,raw_status,direct_cap_flag,at_or_above_cap,near_cap_95
BA1,1,5ea08eb6-576d-4e51-9c36-a6122473a712,anthropic,claude-haiku-4-5-20251001,story_lt5,create a short story in fewer than 5 sentences.,5.0,0,141.0,400.0,0.3525,,,False,False,False
BA1,2,60d03945-b2b9-42e7-9b50-ee2fd14e1861,anthropic,claude-haiku-4-5-20251001,story_lt5,create a short story in fewer than 5 sentences.,5.0,1,151.0,400.0,0.3775,,,False,False,False
BA1,3,94d1d415-58a6-408e-9f52-f5852692889b,anthropic,claude-haiku-4-5-20251001,story_lt5,create a short story in fewer than 5 sentences.,5.0,2,155.0,400.0,0.3875,,,False,False,False
BA1,4,3bc31263-ac4d-434f-ae64-226967b9d573,anthropic,claude-haiku-4-5-20251001,story_lt5,create a short story in fewer than 5 sentences.,5.0,3,128.0,400.0,0.32,,,False,False,False
BA1,5,9bd9179e-96f3-4e38-bad8-3ee88e9ac9e2,anthropic,claude-haiku-4-5-20251001,story_lt5,create a short story in fewer than 5 sentences.,5.0,4,134.0,400.0,0.335,,,False,False,False
BA1,6,7a064d93-b020-4fcc-8390-b6c9af93236b,anthropic,claude-haiku-4-5-20251001,story_lt5,create a short story in fewer than 5 sentences.,5.0,5,138.0,400.0,0.345,,,False,False,False
BA1,7,976392da-81ea-4c12-a931-05bb2bed8d36,anthropic,claude-haiku-4-5-20251001,story_lt5,create a short story in fewer than 5 sentences.,5.0,6,128.0,400.0,0.32,,,False,False,False
BA1,8,698ddb85-8469-4db9-ae4e-8f82d0e9bc56,anthropic,claude-haiku-4-5-20251001,story_lt5,create a short story in fewer than 5 sentences.,5.0,7,127.0,400.0,0.3175,,,False,False,False
BA1,9,7f89813d-7963-4f13-8c6c-3192bff80702,anthropic,claude-haiku-4-5-20251001,story_lt5,create a short story in fewer than 5 sentences.,5.0,8,158.0,400.0,0.395,,,False,False,False
BA1,10,235648f4-f613-4491-9d11-6e148dd6839f,anthropic,claude-haiku-4-5-20251001,story_lt5,create a short story in fewer than 5 sentences.,5.0,9,125.0,400.0,0.3125,,,False,False,False
