model,family,prompt_id,prompt_category,length_condition,n,word_mean,word_sd,char_mean,sent_sem_mean,sent_struct_mean,line_mean,title_rate,single_block_rate,truncation_rate,compliance_sem_rate_constrained,formulaicness_mean,type_token_ratio_mean,dominant_mood_top,dominant_mood_top_share,dominant_setting_top,dominant_setting_top_share,dominant_plot_arc_top,dominant_plot_arc_top_share,dominant_imagery_top,dominant_imagery_top_share,poetic_mode_top,poetic_mode_top_share,tense_top,tense_top_share,person_top,person_top_share,ending_valence_top,ending_valence_top_share
gpt-5.4,GPT,animal_lt10,animal,lt10,10,90.0,14.142135623730951,546.2,6.2,6.2,6.2,0.0,1.0,0.0,1.0,1.9,0.8385,serene,0.6,natural,1.0,none_detected,0.7,nature,1.0,free_verse_or_narrative,0.9,present,1.0,third,1.0,neutral_or_unclear,0.7
gpt-5.4,GPT,animal_lt5,animal,lt5,10,51.9,5.506561742341788,300.7,3.0,3.0,1.0,0.0,1.0,0.0,1.0,1.8,0.85196,serene,0.5,natural,1.0,none_detected,0.6,nature,0.7,not_poem_like,1.0,present,1.0,third,1.0,neutral_or_unclear,0.6
gpt-5.4,GPT,animal_open,animal,open,10,175.7,26.10683180063538,1028.9,10.6,10.7,5.5,0.2,0.0,0.0,,3.0,0.70586,serene,0.9,natural,1.0,none_detected,0.4,nature,0.7,free_verse_or_narrative,1.0,present,1.0,third,1.0,neutral_or_unclear,0.5
gpt-5.4,GPT,poem_lt10,poem,lt10,10,46.8,6.62989860824097,278.4,2.9,2.9,6.8,0.0,0.8,0.0,1.0,0.2,0.87791,serene,0.6,natural,0.7,none_detected,0.5,light_dark,0.5,rhyme_heavy,1.0,present,1.0,first,0.4,neutral_or_unclear,0.5
gpt-5.4,GPT,poem_lt5,poem,lt5,10,25.5,3.689323936863109,152.3,1.1,1.1,3.8,0.0,1.0,0.0,1.0,0.5,0.9253399999999999,melancholic,0.4,natural,0.7,none_detected,0.9,light_dark,0.4,rhyme_heavy,0.5,present,1.0,none_detected,0.6,positive,0.5
gpt-5.4,GPT,poem_open,poem,open,10,88.7,11.245245909074445,517.3,5.6,5.6,13.8,0.0,0.0,0.0,,0.6,0.78777,serene,0.8,natural,0.6,discovery,0.4,nature,0.6,rhyme_heavy,0.6,present,0.9,third,0.6,positive,0.6
gpt-5.4,GPT,story_lt10,story,lt10,10,129.9,21.057856807693735,720.6,6.7,6.8,6.8,0.0,1.0,0.0,1.0,1.7,0.73501,wistful,0.4,natural,0.6,discovery,0.6,nature,0.6,free_verse_or_narrative,0.8,past,0.7,third,1.0,twist_or_turn,0.4
gpt-5.4,GPT,story_lt5,story,lt5,10,68.9,8.412292592787454,374.2,3.2,3.3,1.0,0.0,1.0,0.0,1.0,0.8,0.8083199999999999,wistful,0.3,natural,0.6,discovery,0.9,nature,0.6,not_poem_like,1.0,past,1.0,third,1.0,positive,0.4
gpt-5.4,GPT,story_open,story,open,10,309.6,7.214183560490019,1739.7,27.3,30.3,15.2,0.0,0.0,0.5,,4.7,0.59873,wistful,0.8,domestic,0.6,observation,0.5,machines,0.3,free_verse_or_narrative,1.0,past,0.6,third,1.0,twist_or_turn,0.6
gpt-5.4-nano,GPT,animal_lt10,animal,lt10,10,104.2,8.134972512416853,634.6,7.3,7.3,2.9,0.0,1.0,0.0,1.0,1.3,0.81188,serene,0.7,natural,1.0,creation,0.3,light_dark,0.6,not_poem_like,0.7,present,1.0,third,1.0,neutral_or_unclear,0.8
gpt-5.4-nano,GPT,animal_lt5,animal,lt5,10,60.6,4.4522154285504,363.7,4.0,4.0,1.0,0.0,1.0,0.0,1.0,1.0,0.85585,serene,0.4,natural,0.9,none_detected,0.5,nature,0.6,not_poem_like,1.0,present,1.0,third,1.0,neutral_or_unclear,0.5
gpt-5.4-nano,GPT,animal_open,animal,open,10,204.9,35.632226362599845,1301.9,10.4,7.9,9.9,0.4,0.0,0.0,,2.8,0.72565,serene,0.5,natural,0.9,survival,0.3,light_dark,0.5,free_verse_or_narrative,0.9,present,1.0,third,1.0,twist_or_turn,0.6
gpt-5.4-nano,GPT,poem_lt10,poem,lt10,10,39.2,3.2249030993194197,230.9,2.5,2.5,6.2,0.1,1.0,0.0,1.0,0.2,0.89876,serene,0.7,natural,0.5,none_detected,0.4,light_dark,0.5,rhyme_heavy,0.8,present,1.0,first,0.7,positive,0.6
gpt-5.4-nano,GPT,poem_lt5,poem,lt5,10,25.0,2.160246899469287,145.8,1.3,1.3,4.0,0.0,1.0,0.0,1.0,0.0,0.92925,inspirational,0.6,natural,0.6,none_detected,0.8,light_dark,0.9,rhyme_heavy,0.8,present,1.0,first,0.6,neutral_or_unclear,0.5
gpt-5.4-nano,GPT,poem_open,poem,open,10,96.3,11.333823518811096,566.4,3.9,3.9,14.8,0.0,0.0,0.0,,1.2,0.81796,serene,0.9,natural,1.0,discovery,0.2,light_dark,0.7,rhyme_heavy,0.9,present,1.0,third,0.4,positive,0.4
gpt-5.4-nano,GPT,story_lt10,story,lt10,10,149.2,10.90157990588724,827.3,7.2,7.7,7.3,0.0,1.0,0.0,1.0,2.1,0.67972,wistful,0.4,domestic,1.0,discovery,0.9,memory,0.3,free_verse_or_narrative,0.8,past,1.0,third,1.0,twist_or_turn,0.6
gpt-5.4-nano,GPT,story_lt5,story,lt5,10,76.1,8.685236515681845,410.8,3.7,3.9,1.6,0.0,1.0,0.0,1.0,1.0,0.7675,serene,0.4,domestic,0.9,discovery,0.9,light_dark,0.5,not_poem_like,0.8,past,1.0,third,1.0,neutral_or_unclear,0.6
gpt-5.4-nano,GPT,story_open,story,open,10,319.2,5.00666222813829,1797.1,25.0,25.0,12.8,0.0,0.0,1.0,,2.9,0.60278,serene,0.5,domestic,0.9,discovery,0.6,memory,0.5,free_verse_or_narrative,0.8,past,1.0,third,1.0,negative,0.4
claude-opus-4-7,Claude,animal_lt10,animal,lt10,10,142.9,14.85821882550754,901.8,8.0,8.1,2.0,1.0,0.0,0.0,1.0,1.8,0.76564,serene,0.7,natural,0.8,none_detected,0.5,nature,0.6,not_poem_like,1.0,present,1.0,third,1.0,neutral_or_unclear,0.7
claude-opus-4-7,Claude,animal_lt5,animal,lt5,10,80.9,10.867382389517726,521.8,3.9,3.9,2.0,1.0,0.0,0.0,1.0,1.4,0.8382799999999999,wistful,0.4,natural,0.9,none_detected,0.9,nature,0.9,not_poem_like,1.0,present,1.0,third,1.0,neutral_or_unclear,0.8
