feature_family,analysis,transfer_family,holdout,model,recall,recall_delta_vs_frozen_full
form_structure,P1,,,claude-haiku-4-5-20251001,0.4666666666666667,-0.2666666666666666
form_structure,P1,,,claude-sonnet-4-6,0.6,0.16666666666666663
form_structure,P1,,,claude-opus-4-7,0.23333333333333334,0.13333333333333333
form_structure,P1,,,gpt-5.4-nano,0.23333333333333334,-0.39999999999999997
form_structure,P1,,,gpt-5.4-mini,0.26666666666666666,-0.3
form_structure,P1,,,gpt-5.4,0.26666666666666666,-0.2
form_structure,P3,,story,claude-haiku-4-5-20251001,0.06666666666666667,0.06666666666666667
form_structure,P3,,story,claude-sonnet-4-6,0.9333333333333333,0.1333333333333333
form_structure,P3,,story,claude-opus-4-7,0.0,0.0
form_structure,P3,,story,gpt-5.4-nano,0.6,0.3
form_structure,P3,,story,gpt-5.4-mini,0.0,-0.03333333333333333
form_structure,P3,,story,gpt-5.4,0.16666666666666666,-0.16666666666666666
form_structure,P3,,animal,claude-haiku-4-5-20251001,0.6666666666666666,0.0
form_structure,P3,,animal,claude-sonnet-4-6,0.0,0.0
form_structure,P3,,animal,claude-opus-4-7,0.3333333333333333,0.0
form_structure,P3,,animal,gpt-5.4-nano,0.06666666666666667,0.06666666666666667
form_structure,P3,,animal,gpt-5.4-mini,0.0,-0.43333333333333335
form_structure,P3,,animal,gpt-5.4,0.1,0.03333333333333334
form_structure,P3,,poem,claude-haiku-4-5-20251001,0.0,0.0
form_structure,P3,,poem,claude-sonnet-4-6,0.3333333333333333,0.09999999999999998
form_structure,P3,,poem,claude-opus-4-7,0.0,-0.23333333333333334
form_structure,P3,,poem,gpt-5.4-nano,0.0,-0.13333333333333333
form_structure,P3,,poem,gpt-5.4-mini,0.43333333333333335,0.4
form_structure,P3,,poem,gpt-5.4,0.5333333333333333,0.09999999999999998
form_structure,P3,,pooled,claude-haiku-4-5-20251001,0.24444444444444444,0.022222222222222227
form_structure,P3,,pooled,claude-sonnet-4-6,0.4222222222222222,0.07777777777777778
form_structure,P3,,pooled,claude-opus-4-7,0.1111111111111111,-0.07777777777777778
form_structure,P3,,pooled,gpt-5.4-nano,0.2222222222222222,0.07777777777777778
form_structure,P3,,pooled,gpt-5.4-mini,0.14444444444444443,-0.022222222222222227
form_structure,P3,,pooled,gpt-5.4,0.26666666666666666,-0.011111111111111127
form_structure,P4,phrasing,write,claude-haiku-4-5-20251001,0.2733333333333333,-0.11000000000000004
form_structure,P4,phrasing,write,claude-sonnet-4-6,0.5366666666666666,-0.17666666666666675
form_structure,P4,phrasing,write,claude-opus-4-7,0.4533333333333333,-0.22333333333333333
form_structure,P4,phrasing,write,gpt-5.4-nano,0.18333333333333332,-0.6733333333333333
form_structure,P4,phrasing,write,gpt-5.4-mini,0.32,-0.34
form_structure,P4,phrasing,write,gpt-5.4,0.2608695652173913,-0.29765886287625415
form_structure,P4,phrasing,compose,claude-haiku-4-5-20251001,0.15333333333333332,-0.41333333333333333
form_structure,P4,phrasing,compose,claude-sonnet-4-6,0.4266666666666667,-0.1933333333333333
form_structure,P4,phrasing,compose,claude-opus-4-7,0.35333333333333333,-0.33
form_structure,P4,phrasing,compose,gpt-5.4-nano,0.38461538461538464,-0.5217391304347825
form_structure,P4,phrasing,compose,gpt-5.4-mini,0.3,-0.3333333333333333
form_structure,P4,phrasing,compose,gpt-5.4,0.25,-0.29666666666666663
form_structure,P4,phrasing,gimme,claude-haiku-4-5-20251001,0.2,-0.12
form_structure,P4,phrasing,gimme,claude-sonnet-4-6,0.41333333333333333,-0.2566666666666667
form_structure,P4,phrasing,gimme,claude-opus-4-7,0.48333333333333334,-0.1766666666666667
form_structure,P4,phrasing,gimme,gpt-5.4-nano,0.17666666666666667,-0.55
form_structure,P4,phrasing,gimme,gpt-5.4-mini,0.23333333333333334,-0.3433333333333333
form_structure,P4,phrasing,gimme,gpt-5.4,0.18,-0.21000000000000002
form_structure,P4,phrasing,pooled,claude-haiku-4-5-20251001,0.2088888888888889,-0.21444444444444444
form_structure,P4,phrasing,pooled,claude-sonnet-4-6,0.4588888888888889,-0.2088888888888889
form_structure,P4,phrasing,pooled,claude-opus-4-7,0.43,-0.24333333333333335
form_structure,P4,phrasing,pooled,gpt-5.4-nano,0.24805339265850945,-0.5817575083426029
form_structure,P4,phrasing,pooled,gpt-5.4-mini,0.28444444444444444,-0.33888888888888885
form_structure,P4,phrasing,pooled,gpt-5.4,0.23025583982202447,-0.26807563959955505
form_structure,P4,length_cap,5,claude-haiku-4-5-20251001,0.05,-0.2866666666666667
form_structure,P4,length_cap,5,claude-sonnet-4-6,0.8666666666666667,0.25
form_structure,P4,length_cap,5,claude-opus-4-7,0.0,-0.09333333333333334
form_structure,P4,length_cap,5,gpt-5.4-nano,0.0,-0.9066666666666666
form_structure,P4,length_cap,5,gpt-5.4-mini,0.8333333333333334,0.026666666666666727
form_structure,P4,length_cap,5,gpt-5.4,0.013377926421404682,-0.20066889632107024
form_structure,P4,length_cap,10,claude-haiku-4-5-20251001,0.02666666666666667,-0.5466666666666667
form_structure,P4,length_cap,10,claude-sonnet-4-6,0.49666666666666665,-0.2733333333333334
form_structure,P4,length_cap,10,claude-opus-4-7,0.056666666666666664,-0.23666666666666666
form_structure,P4,length_cap,10,gpt-5.4-nano,0.431438127090301,-0.31772575250836116
form_structure,P4,length_cap,10,gpt-5.4-mini,0.5733333333333334,-0.20666666666666667
form_structure,P4,length_cap,10,gpt-5.4,0.013333333333333334,-0.26333333333333336
form_structure,P4,length_cap,20,claude-haiku-4-5-20251001,0.03666666666666667,0.003333333333333334
form_structure,P4,length_cap,20,claude-sonnet-4-6,0.0,-0.023333333333333334
form_structure,P4,length_cap,20,claude-opus-4-7,0.6833333333333333,-0.18999999999999995
form_structure,P4,length_cap,20,gpt-5.4-nano,0.0,-0.22333333333333333
form_structure,P4,length_cap,20,gpt-5.4-mini,0.06333333333333334,-0.32666666666666666
form_structure,P4,length_cap,20,gpt-5.4,0.79,0.033333333333333326
form_structure,P4,length_cap,pooled,claude-haiku-4-5-20251001,0.03777777777777778,-0.27666666666666667
