output_id,blind_model,prompt_id,prompt_category,length_condition,iteration,timestamp,is_success,is_empty_response,is_truncated_400ish,char_count,word_count,sentence_count_alt,constraint_compliant_alt,sent_len_mean,sent_len_median,sent_len_std,sent_len_max,first_sentence_len,last_sentence_len,closer_is_longest,closer_is_shortest,very_short_sentence_share,very_long_sentence_share,paragraph_count,is_single_block,line_count_nonempty_alt,has_title_line,has_meta_preamble,preamble_text,em_dash_count,ellipsis_count,semicolon_count,colon_count,smart_quote_share,anaphora_max_repeats,anaphora_word,sentence_initial_top_word,sentence_initial_top_count,line_initial_top_word,line_initial_top_count,repeated_bigram_types,hedge_count,intensifier_count,closer_starts_with_pivot,closer_ends_with_ellipsis,closer_ends_with_question,closer_ends_with_exclaim,ending_pivot_present,response,blank_line_separated,comma_count,en_dash_count,exclaim_count,hyphen_count,model_hidden,parenthetical_count,provider_hidden,question_count,smart_quote_double_count,smart_quote_single_count,straight_quote_double_count,straight_quote_single_count
1279f63c35ff,M6,animal_lt10,animal,lt10,0,2026-05-07T17:57:14.594456+00:00,True,False,False,812,132,6,yes,22,20.0,4.9396,30,30,20,False,False,0.0,0.3333,2,False,2,True,False,# The Flutterwing,0,0,0,0,0.0,2,the,the,2,the,2,3,0,0,False,False,False,False,False,"# The Flutterwing

The Flutterwing is a small, bioluminescent creature about the size of a house cat with a body covered in soft, iridescent fur that shifts between blues and purples. It has four delicate, translucent wings that shimmer like stained glass and produce a gentle humming sound when they beat. The animal has large, curious eyes positioned on the sides of its head and a long, prehensile tail tipped with a small tuft of longer fur. Flutterwings are nocturnal and feed on nectar from night-blooming flowers, using their long, thin tongues to drink. They are highly social creatures that travel in small groups and communicate through chirps and changes in their bioluminescence. These gentle animals nest in hollow trees and are considered symbols of good fortune in the regions where they're found.",True,7,0,0,1,hidden,0,hidden,0,0,0,0,1
0f78ab4e65d7,M6,animal_lt10,animal,lt10,1,2026-05-07T17:57:17.270282+00:00,True,False,False,833,136,7,yes,19.4286,19,3.3094,24,19,19,False,False,0.0,0.0,2,False,2,True,False,# The Flutterwing,0,0,0,0,0.0,2,the,the,2,the,2,1,1,1,False,False,False,False,False,"# The Flutterwing

The Flutterwing is a small, fox-sized creature with iridescent, butterfly-like wings that shimmer between purple and turquoise. Its body is covered in soft, downy fur the color of moonlight, and it has large, curious eyes that glow faintly in dim light. Unlike most winged animals, it walks on four delicate, almost insect-like legs with sticky toe pads that let it cling to tree bark. The Flutterwing feeds on nectar and small insects, hovering around flowers at dawn and dusk. It's a social animal, living in small family groups that sleep huddled together in hollow trees. When threatened, it releases a cloud of shimmering, harmless spores that confuse predators and make the Flutterwing difficult to track. These creatures are completely harmless to humans and are said to be good luck if spotted in the wild.",True,11,0,0,3,hidden,0,hidden,0,0,0,0,1
cf0a4db26489,M6,animal_lt10,animal,lt10,2,2026-05-07T17:57:20.107839+00:00,True,False,False,814,130,7,yes,18.5714,18,5.6526,30,30,18,False,False,0.0,0.1429,2,False,2,True,False,# The Lumimoth,0,0,0,0,0.0,2,it,the,2,the,2,2,0,1,False,False,False,False,True,"# The Lumimoth

The Lumimoth is a small, bioluminescent creature about the size of a rabbit, with a body covered in soft, iridescent fur that shifts between blue and purple hues. Its most distinctive feature is a crown of delicate antennae tipped with glowing orbs that emit a gentle, pulsing light. It has large, reflective eyes adapted for seeing in the dark forests where it lives. The Lumimoth feeds on moonflowers and nocturnal insects, leaving trails of faint light as it moves through vegetation. It communicates with other Lumimoths by flashing its antennae in complex patterns. These creatures are solitary but gather in small groups during mating season to create spectacular light displays. They are prey to nocturnal predators but escape danger by dimming their lights completely and freezing in place.",True,6,0,0,0,hidden,0,hidden,0,0,0,0,0
b199fdaca16c,M6,animal_lt10,animal,lt10,3,2026-05-07T17:57:22.632536+00:00,True,False,False,832,129,7,yes,18.4286,19,2.9358,23,19,13,False,True,0.0,0.0,2,False,2,True,False,# The Glimmerwing,0,0,0,0,0.0,1,it,the,1,the,2,1,0,0,False,False,False,False,False,"# The Glimmerwing

The Glimmerwing is a small, bioluminescent creature about the size of a hummingbird with iridescent dragonfly-like wings. Its body is covered in soft, velvety fur that shifts between deep purple and blue depending on the light. Along its spine runs a line of glowing organs that pulse gently, creating an ethereal blue light used to communicate with other Glimmerwings. It has large, curious eyes and a long, delicate snout perfect for feeding on nectar and small insects. Glimmerwings are nocturnal and live in dense forests, where they roost upside-down in willow trees during the day. They're highly social and travel in small flocks, their combined glow lighting up the night sky like living constellations. Despite their fragile appearance, they're surprisingly resilient and can survive in various climates.",True,8,0,0,2,hidden,0,hidden,0,0,0,0,2
b28cc79ad0af,M6,animal_lt10,animal,lt10,4,2026-05-07T17:57:25.557316+00:00,True,False,False,920,142,8,yes,17.75,16.0,5.9221,29,29,13,False,False,0.0,0.125,2,False,2,True,False,# The Luminox,0,0,0,0,0.0,3,the,the,3,the,2,2,0,0,False,False,False,False,False,"# The Luminox

The Luminox is a small, bioluminescent creature about the size of a fox, with a sleek, translucent body that glows softly in shades of blue and green. It has large, reflective eyes adapted for low-light environments and four slender legs ending in padded feet for silent movement. Along its spine runs a ridge of crystalline structures that pulse with gentle light, helping it navigate the deep forests where it lives. The Luminox is herbivorous, feeding primarily on phosphorescent fungi and glowing moss. It's primarily nocturnal and lives in small family groups, using its light patterns to communicate with others. Despite its delicate appearance, it's surprisingly hardy and can survive in harsh underground cave systems. The creature produces a faint humming sound when content, which many consider soothing. Luminoxes are gentle and curious, often approaching humans without fear if not threatened.",True,10,0,0,1,hidden,0,hidden,0,0,0,0,2
c2cc58a0b5da,M6,animal_lt10,animal,lt10,5,2026-05-07T17:57:28.252583+00:00,True,False,False,851,131,7,yes,18.7143,17,4.1918,25,25,17,False,False,0.0,0.0,2,False,2,True,False,# The Flutterwing,0,0,0,0,0.0,2,the,the,2,the,1,2,0,0,False,False,False,False,False,"# The Flutterwing

A small, bioluminescent creature about the size of a rabbit, the Flutterwing has translucent, moth-like wings that shimmer with soft blues and purples. Its body is covered in fine, velvety fur that feels like silk, and it possesses four delicate legs with adhesive pads for climbing. The Flutterwing is nocturnal and feeds on nectar from night-blooming flowers, which it pollinates as it travels. Its most distinctive feature is the soft humming sound it produces, which varies in pitch based on its emotional state. These gentle creatures are highly social and travel in small groups called ""glows."" They navigate using echolocation combined with their natural bioluminescence, which pulses in rhythm with their humming. Flutterwings mate for life and build intricate nests from woven plant fibers and silk they produce themselves.",True,8,0,0,2,hidden,0,hidden,0,0,0,2,0
5ce6dccfb9b5,M6,animal_lt10,animal,lt10,6,2026-05-07T17:57:30.649265+00:00,True,False,False,777,128,7,yes,18.2857,17,4.424,24,24,24,True,False,0.0,0.0,2,False,2,True,False,# The Flutterwing,0,0,0,0,0.0,1,they,the,1,the,2,2,0,0,False,False,False,False,True,"# The Flutterwing

The Flutterwing is a small, fox-like creature about the size of a house cat with iridescent, butterfly-like wings sprouting from its shoulders. Its fur is soft silver-gray, and its large, luminous eyes glow faintly amber in dim light. It has a long, feathered tail that helps it balance while hovering. Flutterwings are gentle herbivores that feed on nectar and pollen from moonflowers that bloom only at night. They communicate through a series of melodic chirps and are known for their playful, curious nature. These creatures are native to misty forest glades and are rarely seen by humans due to their shy temperament. They're said to bring good luck to anyone who spots one, and in some cultures, their shed wing-scales are used to make shimmering dyes.",True,8,0,0,4,hidden,0,hidden,0,0,0,0,1
9595a4a49924,M6,animal_lt10,animal,lt10,7,2026-05-07T17:57:33.335577+00:00,True,False,False,859,131,7,yes,18.7143,17,5.8228,30,30,15,False,False,0.0,0.1429,2,False,2,True,False,# The Glimmerwing,0,0,0,0,0.0,2,the,the,2,the,2,3,0,0,False,False,False,False,False,"# The Glimmerwing

The Glimmerwing is a small, bioluminescent creature about the size of a house cat, with a body covered in soft, iridescent fur that shifts between blue and violet. Its most distinctive feature is a pair of translucent wings lined with glowing veins that pulse gently, creating patterns of light. It has large, gentle eyes and whiskers that shimmer like spun silver. The Glimmerwing is nocturnal and feeds on night-blooming flowers, using its light to attract pollinators and guide them between plants. These solitary creatures are found in deep forests and are known to be shy around humans. They communicate with other Glimmerwings through synchronized light displays that ripple across their bodies like silent conversations. Despite their delicate appearance, they are surprisingly resilient and can survive in various forest ecosystems.",True,7,0,0,1,hidden,0,hidden,0,0,0,0,0
6171e27a8b28,M6,animal_lt10,animal,lt10,8,2026-05-07T17:57:36.015689+00:00,True,False,False,789,129,7,yes,18.4286,18,4.1173,25,18,14,False,True,0.0,0.0,2,False,2,True,False,# The Whisperwing,0,0,0,0,0.0,2,it,the,2,the,2,3,0,0,False,False,False,False,False,"# The Whisperwing

The Whisperwing is a small, fox-sized creature with iridescent feathers that shimmer between blue and silver. It has four legs ending in soft, padded paws and two delicate, translucent wings that make a gentle humming sound in flight. Its large, round eyes glow faintly in dim light, and it possesses a long, feathered tail that helps with balance. The Whisperwing is nocturnal and feeds primarily on moths and small insects it catches mid-flight. It communicates through melodic chirps and the distinctive humming of its wings, which are used to convey emotions and warnings to others of its kind. These creatures are highly social and live in small family groups in forests and woodlands. Their nests are woven from silk and plant fibers, hidden high in tree branches.",True,8,0,0,2,hidden,0,hidden,0,0,0,0,0
1bb8a34104e7,M6,animal_lt10,animal,lt10,9,2026-05-07T17:57:38.648001+00:00,True,False,False,795,127,6,yes,21.1667,22.5,3.3116,24,24,23,False,False,0.0,0.0,2,False,2,True,False,# The Glimmerwing,0,0,0,0,0.0,3,the,the,3,the,1,1,0,0,False,False,False,False,False,"# The Glimmerwing

A creature about the size of a rabbit with a long, sinuous body covered in translucent scales that shimmer with bioluminescent patterns. It has six delicate, membranous wings that pulse with soft blue and violet light as it moves. The Glimmerwing possesses large, expressive eyes positioned on the sides of its head and a small, proboscis-like mouth used to feed on flower nectar. Its tail is prehensile and ends in a star-shaped fin that it uses for balance while gliding through forest canopies at dusk. The creature is nocturnal and communicates with others through changes in its scale coloration and wing patterns. Glimmerwings are gentle, curious animals that live in small colonies within hollow trees, where they create elaborate nests from woven silk and moonflowers.",True,6,0,0,2,hidden,0,hidden,0,0,0,0,0
